manufacturer,our_sku,supplier_sku,product_name,active,category,material_type,product_use,mpn,family_id,family_name,knowledge_file,thermal_r_value,acoustic_rw,nrc_aw,performance_source,tds_url,sds_url,validation_status,validation_notes,bot_content_status,family_confidence,family_recommendation_eligible,sku_selection_eligible,source_workbook,source_sha256
Fletcher,FI PW Batt 168,FIPWBATT100W168L1200PK,P/Wall Btt 1200*168*100 338005,Yes,Batt,Rockwool,Party Wall Acoustic,4006706,FLETCHER_PARTY_WALL_STONEWOOL,Fletcher Protect / Fire Stop Party Wall Stonewool,knowledge/fletcher/party-wall-stonewool.md,R2.0,Review: Rw 40 | Rw 50,Not stated,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS_Party_Wall_Stonewool_Batts-Blankets_Rev_5_05122024.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Duplicate Our SKU; Duplicate SKU; Material conflict between product and spec fields; Acoustic Rw conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PW Batt 168,FIPWBATT100W168L1200PK,Pink Batts Wall Insulation,,Wall Insulation,Glasswool,External Walls; Internal Walls,,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,R1.5,Not stated,NRC 0.95; αw 1.0,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Duplicate Our SKU; Duplicate SKU; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI Protect PW Batt 300,FIPROTECTPWBATT50W300L1200PK,Protect PW Batt 1200*300*50,Yes,Batt,Rockwool,Party Wall Fire,4010579,FLETCHER_PARTY_WALL_STONEWOOL,Fletcher Protect / Fire Stop Party Wall Stonewool,knowledge/fletcher/party-wall-stonewool.md,Not stated,Review: Rw 40+ | Rw 40-65,NRC 1.00; α 0.9 (reported),Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS_Party_Wall_Stonewool_Batts-Blankets_Rev_5_05122024.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Duplicate Our SKU; Duplicate SKU; Material conflict between product and spec fields; Acoustic Rw conflict between legacy and spec fields; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI Protect PW Batt 300,FIPROTECTPWBATT50W300L1200PK,Fletcher Protect Party Wall Stonewool Batts,,Party Wall Insulation,Stonewool,Party Walls; External Walls; Soffits; Roofing,,FLETCHER_PARTY_WALL_STONEWOOL,Fletcher Protect / Fire Stop Party Wall Stonewool,knowledge/fletcher/party-wall-stonewool.md,R1.5,Rw 40,Not stated,Spec Total R-value; Spec Product R-value; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS_Party_Wall_Stonewool_Batts-Blankets_Rev_5_05122024.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Duplicate Our SKU; Duplicate SKU; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,pbattflr,FIPBFLOORT90W430L1160PK12,Pink Floor Batts 1160*430mm,Yes,Batt,Glasswool,Floor,4006073/900263,FLETCHER_PINK_BATTS_FLOOR,Pink Batts Floor Insulation,knowledge/fletcher/pink-batts-floor.md,Review: R2.2 | R2.5,Rw 35,Not stated,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Floor-Rev2-15042024-2.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PB 20430,FIPBR20T90W430L1160PK24,PinkBatt R2.0 1160*430*90,Yes,Batt,Glasswool,Internal Wall | External Wall,4006093,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,Review: R2.2 | R2.0,Rw 35,Not stated,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PB 20580,FIPBR20T90W580L1160PK24,PinkBatt R2.0 1160*580*90,Yes,Batt,Glasswool,Internal Wall | External Wall,4006094,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,Review: R2.17 | R2.0,Rw 40+,NRC 0.95,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PB 20430HD,FIPBHDR20T70W430L1160PK12,PinkBatt R2.0HD 1160*430*70,Yes,Batt,Glasswool,Internal Wall | External Wall,900210,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,Review: R2.2 | R2.0,Rw 38,Not stated,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PB 20580HD,FIPBHDR20T70W580L1160PK12,PinkBatt R2.0HD 1160*580*70,Yes,Batt,Glasswool,Internal Wall | External Wall,900211,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,Review: R2.17 | R2.0,Rw 35,NRC 0.90,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
Fletcher,FI PB 25430HD,FIPBHDR25T90W430L1160PK12,PinkBatt R2.5HD 1160*430*90,Yes,Batt,Glasswool,Internal Wall | External Wall,900253,FLETCHER_PINK_BATTS_WALL,Pink Batts Wall Insulation,knowledge/fletcher/pink-batts-wall.md,Review: R2.7 | R2.5,Rw 39,Not stated,Spec Total R-value; Spec Product R-value; Spec Acoustic Rating; Legacy performance,https://insulation.com.au/wp-content/uploads/2024/TDS-Pink-Batts-Wall-Rev12-010225.pdf,https://insulation.com.au/wp-content/uploads/2024/SUIS-FBS-1-Glasswool-Bio-soluble-Insulation-Rev3-171024.pdf,REVIEW,Thermal R conflict between legacy and spec fields; Order Flag contains repeated 6712; confirm intended meaning; Order Quantity contains repeated 6712; confirm intended meaning,READY,manufacturer_supported,True,False,Product_Master_Bot_Sheet1_Validated.xlsx,cab733ff840db5bb8116e4869b42915772cd667d035912612bd78c0d35b4b5b7
